image_url,caption_title_and_reference_description,cleaned_caption
https://upload.wikimedia.org/wikipedia/commons/1/17/The_100th_Anniversary_of_the_Royal_Canadian_Academy_of_Arts.jpg,Royal Canadian Academy of Arts [SEP] The 100th Anniversary,Royal Canadian Academy of Arts The 100th Anniversary
https://upload.wikimedia.org/wikipedia/commons/7/71/Carola_Eisenberg_as_HMS_Dean_of_Students_-_Commencement.jpg,Carola B. Eisenberg [SEP] ,Carola B Eisenberg
https://upload.wikimedia.org/wikipedia/commons/2/27/Kaisheim_Kirche_3.jpg,Kaisheim [SEP] ,Kaisheim
https://upload.wikimedia.org/wikipedia/commons/a/ae/US_Supreme_Court_Justice_Potter_Stewart_-_1976_official_portrait.jpg,"Fourth Amendment to the United States Constitution [SEP] Potter Stewart wrote the majority decision in Katz v. United States, which expanded Fourth Amendment protections to electronic surveillance.",Fourth Amendment to the United States Constitution Potter Stewart wrote the majority decision in Katz v United States which expanded Fourth Amendment protections to electronic surveillance
https://upload.wikimedia.org/wikipedia/commons/9/9d/Mississippi_quarter%2C_reverse_side%2C_2002.jpg,Mississippi [SEP] A Mississippi U.S. quarter,Mississippi A Mississippi US quarter
https://upload.wikimedia.org/wikipedia/commons/7/7e/Ponteulla_Vedra_Galicia_12.jpg,Hórreo [SEP] ,Hrreo
https://upload.wikimedia.org/wikipedia/commons/6/6d/MaillotCuracao.png,Deceuninck–Quick-Step [SEP] ,DeceuninckQuickStep
https://upload.wikimedia.org/wikipedia/commons/1/17/Westernwall2.jpg,"Israel [SEP] The Dome of the Rock and the Western Wall, Jerusalem.",Israel The Dome of the Rock and the Western Wall Jerusalem
http://upload.wikimedia.org/wikipedia/commons/c/c2/Borfig9a.png,Crystal structure of boron-rich metal borides [SEP] ,Crystal structure of boronrich metal borides
https://upload.wikimedia.org/wikipedia/commons/7/73/A1_Mine_Settlement_Town_Entry_Sign.JPG,A1 Mine Settlement [SEP] Entering A1 Mining Settlement from Jamieson,A1 Mine Settlement Entering A1 Mining Settlement from Jamieson
https://upload.wikimedia.org/wikipedia/commons/9/96/SeferTorah.jpg,Sefer Torah [SEP] A Sephardic Torah Scroll rolled up to the first paragraph of שְׁמַע יִשְׂרָאֵל‎.,Sefer Torah A Sephardic Torah Scroll rolled up to the first paragraph of
https://upload.wikimedia.org/wikipedia/commons/6/6d/Beckmann_Fragmentation.png,Beckmann rearrangement [SEP] ,Beckmann rearrangement
https://upload.wikimedia.org/wikipedia/commons/a/a1/Lairdsville%2C_Pennsylvania.jpg,"Franklin Township, Lycoming County, Pennsylvania [SEP] Lairdsville, the township's main population center",Franklin Township Lycoming County Pennsylvania Lairdsville the townships main population center
https://upload.wikimedia.org/wikipedia/commons/1/1a/Aerobravo_700.jpg,Aero Bravo 700 [SEP] ,Aero Bravo 700
https://upload.wikimedia.org/wikipedia/commons/2/20/The_Surrender_of_General_Burgoyne_at_Saratoga_October_16_1777.jpeg,History of the Hudson River [SEP] Painting of Burgoyne's surrender at Saratoga,History of the Hudson River Painting of Burgoynes surrender at Saratoga
https://upload.wikimedia.org/wikipedia/commons/a/a2/Ngaajyunlapgaau.JPG,Effects of the car on societies [SEP] Urban interchange in Shenzhen,Effects of the car on societies Urban interchange in Shenzhen
https://upload.wikimedia.org/wikipedia/commons/6/6b/Eulagisca_uschakovi_whole_F135058.jpg,Eulagisca uschakovi [SEP] ,Eulagisca uschakovi
https://upload.wikimedia.org/wikipedia/commons/f/fb/Tony_Abbott_Signature.png,Tony Abbott [SEP] ,Tony Abbott
https://upload.wikimedia.org/wikipedia/commons/8/8c/ErnestineSchumann-Heink.jpg,The Hoover Sentinels [SEP] Ernestine Schumann-Heink,The Hoover Sentinels Ernestine SchumannHeink
https://upload.wikimedia.org/wikipedia/commons/3/3b/Flickr_-_cyclonebill_-_B%C3%B8f_med_pommes_frites_%281%29.jpg,Steak frites [SEP] ,Steak frites
https://upload.wikimedia.org/wikipedia/commons/a/a1/PIA16132-MarsCuriosityRover-CalibrationTarget-20120909.jpg,Color chart [SEP] Calibration target on the Mars Curiosity rover,Color chart Calibration target on the Mars Curiosity rover
https://upload.wikimedia.org/wikipedia/commons/a/ac/16Dec2016_Polish_protests_against_limiting_of_freedom_of_the_press%2C_Cracow.jpg,"December 2016 Polish protests [SEP] Protest against limiting of freedom of the press, Kraków 16 Dec. 2016",December 2016 Polish protests Protest against limiting of freedom of the press Krakw 16 Dec 2016
http://upload.wikimedia.org/wikipedia/commons/4/4f/CenturyPlazaHotel.jpg,Minoru Yamasaki [SEP] ,Minoru Yamasaki
https://upload.wikimedia.org/wikipedia/commons/d/df/Rhun_ap_Iorwerth_AM_%2827555192223%29.jpg,Rhun ap Iorwerth [SEP] Rhun ap Iorwerth in 2016,Rhun ap Iorwerth Rhun ap Iorwerth in 2016
https://upload.wikimedia.org/wikipedia/commons/5/55/StateLibQld_1_115224_Honourable_Digby_Frank_Denham%2C_Home_Secretary.jpg,Deputy Premier of Queensland [SEP] ,Deputy Premier of Queensland
https://upload.wikimedia.org/wikipedia/commons/9/9a/President_Clinton%27s_Remarks_at_the_2000_Democratic_National_Convention.jpg,2000 Democratic National Convention [SEP] President Bill Clinton speaking at the convention,2000 Democratic National Convention President Bill Clinton speaking at the convention
https://upload.wikimedia.org/wikipedia/commons/4/43/Messelobunodon_schaeferi.jpg,Messelobunodon [SEP] ,Messelobunodon
https://upload.wikimedia.org/wikipedia/commons/8/89/Dromedary_heart.jpg,Dromedary [SEP] Dromedary heart,Dromedary Dromedary heart
https://upload.wikimedia.org/wikipedia/commons/d/d7/Argo_Merchant_breaking_apart.jpg,MV Argo Merchant [SEP] ,MV Argo Merchant
https://upload.wikimedia.org/wikipedia/commons/a/a6/Allen%27s_Landing_Houston_bayou_view.jpg,"White Oak Bayou [SEP] White Oak Bayou and Buffalo Bayou at Allen's Landing, with the University of Houston–Downtown in the distance.",White Oak Bayou White Oak Bayou and Buffalo Bayou at Allens Landing with the University of HoustonDowntown in the distance
https://upload.wikimedia.org/wikipedia/commons/e/e8/Vercelli_Campanile_San_Paolo.jpg,List of Brick Gothic buildings [SEP] ,List of Brick Gothic buildings
https://upload.wikimedia.org/wikipedia/commons/9/9b/Location_map_Jerusalem.png,Damascus Gate [SEP] ,Damascus Gate
https://upload.wikimedia.org/wikipedia/commons/0/0c/Portrait_of_Pope_Clement_VII.jpg,Pope Clement VII [SEP] Portrait of Pope Clement VII (1568),Pope Clement VII Portrait of Pope Clement VII 1568
https://upload.wikimedia.org/wikipedia/commons/c/cc/In_the_Millbank_Hospital_during_an_Air_Raid%2C_patients_being_taken_to_the_shelter_%281940%29_%28Art.IWM_ART_LD_1598%29.jpg,"Frances Macdonald (English artist) [SEP] In the Millbank Hospital during an Air Raid, patients being taken to the shelter (1940) (Art.IWM ART LD 1598)",Frances Macdonald English artist In the Millbank Hospital during an Air Raid patients being taken to the shelter 1940 ArtIWM ART LD 1598
https://upload.wikimedia.org/wikipedia/commons/1/1c/Wappen_Renquishausen.png,Renquishausen [SEP] ,Renquishausen
http://upload.wikimedia.org/wikipedia/commons/0/0c/Courtyard_Theatre_Stratford_upon_Avon.jpg,Stratford-upon-Avon [SEP] The Other Place theatre,StratforduponAvon The Other Place theatre
https://upload.wikimedia.org/wikipedia/commons/4/4b/Cuetzpalin.jpg,Aztec calendar [SEP] ,Aztec calendar
https://upload.wikimedia.org/wikipedia/commons/b/b8/WeyrMatrixExample02.jpg,Weyr canonical form [SEP] ,Weyr canonical form
https://upload.wikimedia.org/wikipedia/commons/5/54/Currawong_Beach3.jpg,Currawong Beach [SEP] ,Currawong Beach
https://upload.wikimedia.org/wikipedia/commons/f/fe/Rostroraja_alba.jpg,List of threatened rays [SEP] ,List of threatened rays
https://upload.wikimedia.org/wikipedia/commons/1/13/Benjamin_Jonson_by_Abraham_van_Blyenberch.jpg,"Nevillean theory of Shakespeare authorship [SEP] Ben Jonson, said by Nevilleans to be in on the conspiracy to hide Shakespeare's role as a mere ""front man"".[7]",Nevillean theory of Shakespeare authorship Ben Jonson said by Nevilleans to be in on the conspiracy to hide Shakespeares role as a mere front man
https://upload.wikimedia.org/wikipedia/commons/1/1c/TatongTavern.JPG,Tatong [SEP] The Tatong Tavern,Tatong The Tatong Tavern
https://upload.wikimedia.org/wikipedia/commons/8/8d/Baile_del_Santiago_antiguo.jpg,"Criollo people [SEP] Ball in colonial Chile by Pedro Subercaseaux. In Spain's American colonies, the upper classes were made up of American-born Spaniards who were heavily influenced by modern European trends.",Criollo people Ball in colonial Chile by Pedro Subercaseaux In Spains American colonies the upper classes were made up of Americanborn Spaniards who were heavily influenced by modern European trends
https://upload.wikimedia.org/wikipedia/commons/f/f4/ElectoralCollege1888.svg,Benjamin Harrison [SEP] Results of the 1888 election,Benjamin Harrison Results of the 1888 election
http://upload.wikimedia.org/wikipedia/commons/4/4b/BYwork.jpg,1922 in Mandatory Palestine [SEP] Eliezer Ben-Yehuda,1922 in Mandatory Palestine Eliezer BenYehuda
https://upload.wikimedia.org/wikipedia/commons/d/de/Conquest_of_Yixi%2C_Yiasuo_and_others.jpg,Jinchuan campaigns [SEP] ,Jinchuan campaigns
https://upload.wikimedia.org/wikipedia/commons/4/4c/A_view_of_Syangja.jpg,Syangja District [SEP] The District Headquarters Putalibazar,Syangja District The District Headquarters Putalibazar
https://upload.wikimedia.org/wikipedia/commons/3/39/%CE%9F%CE%BC%CE%B9%CE%BB%CE%AF%CE%B1_%CE%91%CE%BD%CF%84%CE%B9%CF%80%CF%81%CE%BF%CE%AD%CE%B4%CF%81%CE%BF%CF%85_%CF%84%CE%B7%CF%82_%CE%9A%CF%85%CE%B2%CE%AD%CF%81%CE%BD%CE%B7%CF%83%CE%B7%CF%82_%CE%BA%CE%B1%CE%B9_%CE%A5%CE%A0%CE%95%CE%9E_%CE%95%CF%85._%CE%92%CE%B5%CE%BD%CE%B9%CE%B6%CE%AD%CE%BB%CE%BF%CF%85_%CF%83%CF%84%CE%B7%CE%BD_6%CE%B7_%CE%95%CF%85%CF%81%CF%89%CF%80%CE%B1%CF%8A%CE%BA%CE%AE_%CE%94%CE%B9%CE%AC%CF%83%CE%BA%CE%B5%CF%88%CE%B7_%CE%A0%CE%B5%CF%81%CE%B9%CF%86%CE%B5%CF%81%CE%B5%CE%B9%CF%8E%CE%BD_%CE%BA%CE%B1%CE%B9_%CE%94%CE%AE%CE%BC%CF%89%CE%BD_%2813055324543%29.jpg,Evangelos Venizelos [SEP] ,Evangelos Venizelos
https://upload.wikimedia.org/wikipedia/commons/5/54/Orange_Vale_%28Lawler_House%29.jpg,List of plantations in Alabama [SEP] ,List of plantations in Alabama
https://upload.wikimedia.org/wikipedia/commons/3/33/Whitton_station.jpg,Whitton railway station [SEP] ,Whitton railway station
https://upload.wikimedia.org/wikipedia/commons/c/c1/Billy_Jean_Moffitt.jpg,"Tennis Ireland [SEP] Billy Jean Moffitt (later King) at the Irish Open at Fitzwilliam LTC, Dublin in the 1960s",Tennis Ireland Billy Jean Moffitt later King at the Irish Open at Fitzwilliam LTC Dublin in the 1960s
https://upload.wikimedia.org/wikipedia/commons/a/a4/Bcngodo7.jpg,Nena Daconte [SEP] Nena Daconte performing live (Barcelona 2011),Nena Daconte Nena Daconte performing live Barcelona 2011
https://upload.wikimedia.org/wikipedia/commons/5/56/British_Columbia_Conservative_Party_logo.png,British Columbia Conservative Party [SEP] ,British Columbia Conservative Party
https://upload.wikimedia.org/wikipedia/commons/0/08/BasingwerkPriory.JPG,Buildwas Abbey [SEP] Ruins of Basingwerk Abbey.,Buildwas Abbey Ruins of Basingwerk Abbey
https://upload.wikimedia.org/wikipedia/commons/8/83/PF-15_and_SARV-002_CARAT_2013.jpg,"Gregorio del Pilar [SEP] ""BRP Gregorio del Pilar (PF-15)"" a Philippine Navy warship to be named after Gregorio del Pilar",Gregorio del Pilar BRP Gregorio del Pilar PF15 a Philippine Navy warship to be named after Gregorio del Pilar
https://upload.wikimedia.org/wikipedia/commons/5/57/Brook_Snake_%28Pseudoxyrhopus_tritaeniatus%29_%287620765830%29.jpg,Pseudoxyrhopus tritaeniatus [SEP] ,Pseudoxyrhopus tritaeniatus
https://upload.wikimedia.org/wikipedia/commons/2/2b/Millfield_House.jpg,"Edmonton, London [SEP] ",Edmonton London
https://upload.wikimedia.org/wikipedia/commons/a/a0/2014_Honda_Ridgeline_RTL-Bed.jpg,Honda Ridgeline [SEP] ,Honda Ridgeline
https://upload.wikimedia.org/wikipedia/commons/b/b7/The_Plan_of_Salvation_japanese.jpg,Sapporo Japan Temple [SEP] The Plan of salvation in Japanese language.,Sapporo Japan Temple The Plan of salvation in Japanese language
https://upload.wikimedia.org/wikipedia/commons/7/72/Vermanes_Garden_Memorial.jpg,Monuments and memorials in Riga [SEP] ,Monuments and memorials in Riga
https://upload.wikimedia.org/wikipedia/commons/9/97/Shu_Kurata_2017_%2836700073003%29_%28cropped%29.jpg,Shu Kurata [SEP] ,Shu Kurata
https://upload.wikimedia.org/wikipedia/commons/b/ba/Amad%C3%A9e_Lynen_001.jpg,Académie Royale des Beaux-Arts [SEP] ,Acadmie Royale des BeauxArts
https://upload.wikimedia.org/wikipedia/commons/d/de/Ritratto_dell_ambasciatore_Gabriel_de_Luetz_d_Aramont_Tiziano_Vecellio_1541_1542_oil_on_canvas_76_x_74_cm.jpg,"Franco-Ottoman alliance [SEP] French ambassador to the Ottoman Porte Gabriel de Luetz d'Aramont, was present at the 1551 Siege of Tripoli as well as later Ottoman campaigns. Painting by Titian.",FrancoOttoman alliance French ambassador to the Ottoman Porte Gabriel de Luetz dAramont was present at the 1551 Siege of Tripoli as well as later Ottoman campaigns Painting by Titian
https://upload.wikimedia.org/wikipedia/commons/f/fd/Beibei_Museum.jpg,Chongqing Natural History Museum [SEP] Museum building in Beibei.,Chongqing Natural History Museum Museum building in Beibei
https://upload.wikimedia.org/wikipedia/commons/3/36/Vicugna-ESO.jpg,Vicuña [SEP] ,Vicua
https://upload.wikimedia.org/wikipedia/commons/1/1c/Linie_U5_Endstation_-_H%C3%B6now_U-Bahnhof%2C_Berlin_DDR_Jan_1990.jpg,Hönow (Berlin U-Bahn) [SEP] ,Hnow Berlin UBahn
https://upload.wikimedia.org/wikipedia/commons/e/e0/Samantha_John_programmer_03.png,Samantha John [SEP] Samantha John (2014).,Samantha John Samantha John 2014
https://upload.wikimedia.org/wikipedia/commons/e/ea/St_Antony%27s_Hall_interior.jpg,St Anthony's Hall [SEP] Roof of the main hall,St Anthonys Hall Roof of the main hall
https://upload.wikimedia.org/wikipedia/commons/9/9d/Charles_Earle_1901.JPG,"Charles Earle [SEP] Charles Earle 1901 top,center",Charles Earle Charles Earle 1901 topcenter
https://upload.wikimedia.org/wikipedia/commons/f/f2/Map_of_Vermont_highlighting_Grand_Isle_County.svg,"National Register of Historic Places listings in Grand Isle County, Vermont [SEP] Location of Grand Isle County in Vermont",National Register of Historic Places listings in Grand Isle County Vermont Location of Grand Isle County in Vermont
https://upload.wikimedia.org/wikipedia/commons/c/c2/Official_launch_of_geo-trekking_guide.jpg,Geotourism [SEP] Official launch of the Dogu'a Tembien geo-trekking guide,Geotourism Official launch of the Dogua Tembien geotrekking guide
https://upload.wikimedia.org/wikipedia/commons/7/7b/Els_7_poetes%2C_Casa_de_la_Vall%2C_Consell_General.JPG,Andorra [SEP] The centre of government in Andorra la Vella,Andorra The centre of government in Andorra la Vella
https://upload.wikimedia.org/wikipedia/commons/7/7a/St_Cyr%27s_Church%2C_Stinchcombe.jpg,List of ecclesiastical restorations and alterations by J. L. Pearson [SEP] ,List of ecclesiastical restorations and alterations by J L Pearson
https://upload.wikimedia.org/wikipedia/commons/a/aa/Valerie_Harper.jpg,"Deaths in August 2019 [SEP] Valerie Harper
1939 – 2019",Deaths in August 2019 Valerie Harper 1939 2019
https://upload.wikimedia.org/wikipedia/commons/1/13/1886lampiao2g.jpg,Benjamin Abrahão Botto [SEP] ,Benjamin Abraho Botto
https://upload.wikimedia.org/wikipedia/commons/8/81/Loktak_Lake1.jpg,"Tourist attractions in Manipur [SEP] Loktak lake, world's only floating lake in Manipur",Tourist attractions in Manipur Loktak lake worlds only floating lake in Manipur
https://upload.wikimedia.org/wikipedia/commons/6/67/McGuire-Strickland_House%2C_Tuscaloosa%2C_AL_2018.jpg,List of oldest buildings in Alabama [SEP] ,List of oldest buildings in Alabama
https://upload.wikimedia.org/wikipedia/commons/c/c4/Edinburgh%2C_31%2C_32%2C_33%2C_34_Argyle_Place_-_20170917162250.jpg,List of listed buildings in Edinburgh/13 [SEP] ,List of listed buildings in Edinburgh13
https://upload.wikimedia.org/wikipedia/commons/f/f9/USGS_Everglades_Protection_Area_Map.gif,"Everglades Agricultural Area [SEP] This map shows the Everglades Agricultural Area, as designated by the Central and Southern Florida Project",Everglades Agricultural Area This map shows the Everglades Agricultural Area as designated by the Central and Southern Florida Project
https://upload.wikimedia.org/wikipedia/commons/b/b4/Serles_-BT-_02.jpg,"Serles [SEP] Serles, view direction SW",Serles Serles view direction SW
https://upload.wikimedia.org/wikipedia/commons/5/5e/Annett_renneberg_worms.jpg,Annett Renneberg [SEP] ,Annett Renneberg
https://upload.wikimedia.org/wikipedia/commons/3/30/Perenethis.venusta.male.-.tanikawa.jpg,Perenethis [SEP] ,Perenethis
https://upload.wikimedia.org/wikipedia/commons/2/24/OHMap-doton-Ashtabula.png,"Ashtabula, Ohio [SEP] Location of Ashtabula, Ohio",Ashtabula Ohio Location of Ashtabula Ohio
https://upload.wikimedia.org/wikipedia/commons/7/75/General_George_Washington_Resigning_his_Commission.jpg,"Elbridge Gerry [SEP] General George Washington Resigning His Commission, by John Trumbull, shows Gerry standing on the left.[103]",Elbridge Gerry General George Washington Resigning His Commission by John Trumbull shows Gerry standing on the left
https://upload.wikimedia.org/wikipedia/commons/b/b6/Pyrox_names.svg,"Clinopyroxene thermobarometry [SEP] Compositional diagram of pyroxenes. Diopside, hedenbergite and augite are main sub-minerals of clinopyroxene. Jadeite contains aluminium and is therefore not shown in the diagram.",Clinopyroxene thermobarometry Compositional diagram of pyroxenes Diopside hedenbergite and augite are main subminerals of clinopyroxene Jadeite contains aluminium and is therefore not shown in the diagram
https://upload.wikimedia.org/wikipedia/commons/0/0c/Matt_Leinart%27s_Heisman_Trophy.jpg,Matt Leinart [SEP] Matt Leinart's Heisman Trophy,Matt Leinart Matt Leinarts Heisman Trophy
https://upload.wikimedia.org/wikipedia/commons/7/71/Michel-Fran%C3%A7ois_Dandr%C3%A9-Bardon_-_Academie_d%27homme.jpg,"Michel-François Dandré-Bardon [SEP] Académie d'homme, Musée des beaux-arts, Marseille",MichelFranois DandrBardon Acadmie dhomme Muse des beauxarts Marseille
https://upload.wikimedia.org/wikipedia/commons/1/1d/Nerita_peloronta_Linnaeus%2C_1758_000.jpg,Nerita [SEP] Shell and opercula of Nerita peloronta,Nerita Shell and opercula of Nerita peloronta
https://upload.wikimedia.org/wikipedia/commons/d/df/Daily_Mail_Postcard_-The_High_Street_of_Guillemont.jpg,"Preston Rifles [SEP] The High Street of Guillemont, 1916",Preston Rifles The High Street of Guillemont 1916
https://upload.wikimedia.org/wikipedia/commons/a/ac/SE2226May27A.png,"Solar eclipse of November 22, 1919 [SEP] ",Solar eclipse of November 22 1919
https://upload.wikimedia.org/wikipedia/commons/9/93/Albany_MO_Library.JPG,National Register of Historic Places listings in Missouri [SEP] ,National Register of Historic Places listings in Missouri
https://upload.wikimedia.org/wikipedia/commons/1/1a/OHMap-doton-Marysville.png,"Marysville, Ohio [SEP] Location in the state of Ohio, United States",Marysville Ohio Location in the state of Ohio United States
https://upload.wikimedia.org/wikipedia/commons/3/31/Turner_House%2C_Ardmore%2C_OK.jpg,"National Register of Historic Places listings in Carter County, Oklahoma [SEP] ",National Register of Historic Places listings in Carter County Oklahoma
https://upload.wikimedia.org/wikipedia/commons/c/cf/Eglise_Pintheville.JPG,Pintheville [SEP] The church in Pintheville,Pintheville The church in Pintheville
https://upload.wikimedia.org/wikipedia/commons/9/9a/Manchester_Community_College%2C_Manchester_NH.jpg,Manchester Community College (New Hampshire) [SEP] ,Manchester Community College New Hampshire
https://upload.wikimedia.org/wikipedia/commons/c/ce/US_cruisers_of_Task_Force_18_at_sea_en_route_to_Guadalcanal_on_29_January_1943.jpg,"USS Wichita (CA-45) [SEP] Louisville and Chicago, photographed from Wichita, off Rennell Island",USS Wichita CA45 Louisville and Chicago photographed from Wichita off Rennell Island
https://upload.wikimedia.org/wikipedia/commons/7/74/Universit%C3%A4t_von_Athen.jpg,Outline of Athens [SEP] The National Archaeological Museum,Outline of Athens The National Archaeological Museum
http://upload.wikimedia.org/wikipedia/commons/3/32/Vladan_Lukic.jpg,Vladan Lukić [SEP] Vladan Lukić,Vladan Luki Vladan Luki
https://upload.wikimedia.org/wikipedia/commons/7/71/Jiansanjiang_train_station_platform.jpg,Jiansanjiang [SEP] Jiansanjiang train station,Jiansanjiang Jiansanjiang train station
https://upload.wikimedia.org/wikipedia/commons/7/7d/Perth_Stadium_railway_station%2C_December_2017_02.jpg,Perth Stadium railway station [SEP] Perth Stadium station in December 2017,Perth Stadium railway station Perth Stadium station in December 2017
https://upload.wikimedia.org/wikipedia/commons/3/38/St_Patricks_-_July_2011.jpg,St. Patrick's Roman Catholic Church (Calgary) [SEP] St. Patrick's Church in 2011.,St Patricks Roman Catholic Church Calgary St Patricks Church in 2011
http://upload.wikimedia.org/wikipedia/commons/5/5e/Vesela_RO_CZ.png,Veselá (Rokycany District) [SEP] Location in Rokycany District,Vesel Rokycany District Location in Rokycany District
https://upload.wikimedia.org/wikipedia/commons/b/b5/Stock_Transportation_schoolbus_RH.JPG,"Stock Transportation [SEP] Stock bus seen at the Kitchener, Ontario Empire Theatres cinema",Stock Transportation Stock bus seen at the Kitchener Ontario Empire Theatres cinema
https://upload.wikimedia.org/wikipedia/commons/2/27/Finnish_icebreaker_Sampo_%281898%29.jpg,Sampo (1898 icebreaker) [SEP] Sampo undergoing sea trials on 23 October 1898.,Sampo 1898 icebreaker Sampo undergoing sea trials on 23 October 1898
https://upload.wikimedia.org/wikipedia/commons/5/51/Great-a-p-warehouse-jersey-city.jpg,"Powerhouse Arts District, Jersey City [SEP] The A & P Warehouse",Powerhouse Arts District Jersey City The A P Warehouse
https://upload.wikimedia.org/wikipedia/commons/4/47/RAMC_Memorial_Aldershot_Group.jpg,Goscombe John [SEP] ,Goscombe John
https://upload.wikimedia.org/wikipedia/commons/b/b4/Ada_Milea_%28cropped%29.jpg,Ada Milea [SEP] Ada Milea,Ada Milea Ada Milea
http://upload.wikimedia.org/wikipedia/commons/8/84/Pudcentnewarkjeh.JPG,"List of New Jersey Devils seasons [SEP] The Prudential Center, the Devils' home arena since the 2007 season",List of New Jersey Devils seasons The Prudential Center the Devils home arena since the 2007 season
https://upload.wikimedia.org/wikipedia/commons/1/18/Holbek-Jesaya.jpg,Johannes Holbek [SEP] Jesaya (Esaias Tegnér),Johannes Holbek Jesaya Esaias Tegnr
https://upload.wikimedia.org/wikipedia/commons/6/60/USS_LST-946_San_Francisco_Bay_early_1946.jpg,"USS LST-946 [SEP] USS LST-946 under way in San Francisco Bay after passing under the Golden Gate Bridge, c. early 1946 with LCT-1376 on board.",USS LST946 USS LST946 under way in San Francisco Bay after passing under the Golden Gate Bridge c early 1946 with LCT1376 on board
http://upload.wikimedia.org/wikipedia/commons/b/bb/Neti_pot.jpg,"Neti (Hatha Yoga) [SEP] A ceramic neti pot. Neti pots can also be made from glass, metal, or plastic",Neti Hatha Yoga A ceramic neti pot Neti pots can also be made from glass metal or plastic
https://upload.wikimedia.org/wikipedia/commons/0/03/Ivar_Aronsson_SOK.jpg,Ivar Aronsson [SEP] ,Ivar Aronsson
https://upload.wikimedia.org/wikipedia/commons/c/c6/BuckskinFrankLeslie.jpg,Billy Claiborne [SEP] Frank Leslie killed Claiborne in what was ruled self-defense.,Billy Claiborne Frank Leslie killed Claiborne in what was ruled selfdefense
http://upload.wikimedia.org/wikipedia/commons/5/50/Hesperiidae_-_Polytremis_pellucida.JPG,Polytremis pellucida [SEP] ,Polytremis pellucida
https://upload.wikimedia.org/wikipedia/commons/7/75/Builder%27s_tudorbethan.jpg,"Tudor Revival architecture [SEP] Mock Tudor house in Greenock, Scotland",Tudor Revival architecture Mock Tudor house in Greenock Scotland
https://upload.wikimedia.org/wikipedia/commons/7/7d/Alluvial_fan%2C_Taklimakan_Desert%2C_XinJiang_Province%2C_China%2C_NASA%2C_ASTER.jpg,Alluvial fan [SEP] A big alluvial fan across the mountain ranges of Xinjiang.,Alluvial fan A big alluvial fan across the mountain ranges of Xinjiang
https://upload.wikimedia.org/wikipedia/commons/e/eb/1522_-_NMT2015.jpg,"St. Louis–San Francisco 1522 [SEP] Frisco 1522 sits on static display at the Museum of Transportation in St. Louis, MO.",St LouisSan Francisco 1522 Frisco 1522 sits on static display at the Museum of Transportation in St Louis MO
https://upload.wikimedia.org/wikipedia/commons/9/9e/Railway_Bridge_over_River_Witham_%28geograph_2435952%29.jpg,List of bridges and viaducts in Lincolnshire [SEP] ,List of bridges and viaducts in Lincolnshire
http://upload.wikimedia.org/wikipedia/commons/e/e1/Bpycomp.png,"2,2′-Bipyridine [SEP] ",22Bipyridine
https://upload.wikimedia.org/wikipedia/commons/d/dc/PLoSBiol4.e126.Fig6fNeuron.jpg,"Brain [SEP] Neurons often have extensive networks of dendrites, which receive synaptic connections. Shown is a pyramidal neuron from the hippocampus, stained for green fluorescent protein.",Brain Neurons often have extensive networks of dendrites which receive synaptic connections Shown is a pyramidal neuron from the hippocampus stained for green fluorescent protein
